농약제품목록,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
등록번호,구분,작물명,병해충명,품목명,일반명,유효성분 함유량,상표명,인축독성,어독성,용도,등록일,작용기작,희석배수,사용량,사용적기,사용방법,안전사용기준(시기),안전사용기준(횟수),제형,법인명(상호명)
1-살균-472,제조,고추(단고추류포함),탄저병,이미녹타딘트리아세테이트.펜티오피라드 액상수화제,Iminoctadine triacetate+Penthiopyrad,20.5(17.5+3)%,미사일,Ⅲ급(보통독성),Ⅲ급,살균,2015-07-23,카+다2,1000배,-,발병초 10일간격,경엽처리,수확5일전,3회,액상수화제,(주)경농
52-살균-4,제조,고추(단고추류포함),탄저병,테부코나졸 입상수화제,Tebuconazole,25%,밀리언,Ⅳ급(저독성),Ⅲ급,살균,2005-09-30,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,입상수화제,(주)한얼싸이언스
19-살균-214,제조,고추(단고추류포함),탄저병,피라클로스트로빈.테부코나졸 입상수화제,Pyraclostrobin+Tebuconazole,31(13+18)%,바로센,Ⅳ급(저독성),Ⅰ급,살균,2021-07-29,다3+사1,2000배,-,발생초기,경엽처리,수확3일전,2회,입상수화제,인바이오(주)
122-살균-5,수입,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,바빌론,Ⅳ급(저독성),Ⅰ급,살균,2019-02-12,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,에이치바이오텍
122-살균-5,수입,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,바빌론,Ⅳ급(저독성),Ⅰ급,살균,2019-02-12,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,에이치바이오텍
46-살균-311,제조,고추(단고추류포함),탄저병,디페노코나졸.플루아지남 수화제,Difenoconazole+Fluazinam,47(7+40)%,바이블,Ⅳ급(저독성),Ⅰ급,살균,2009-03-30,사1+다5,2000배,-,발병초 10일간격 ,경엽처리,수확5일전,3회,수화제,(주)팜한농
44-살균-13,제조,고추,탄저병,플루아지남 액상수화제,Fluazinam,41%,반조,Ⅳ급(저독성),Ⅰ급,살균,2023-06-13,다5,2000배,-,발생초기,경엽처리,수확7일전,2회,액상수화제,아다마코리아(주)
29-살균-11,수입,고추(단고추류포함),탄저병,플루아지남 액상수화제,Fluazinam,41%,반조,Ⅳ급(저독성),Ⅰ급,살균,2013-03-04,다5,2000배,-,발병초 10일간격,경엽처리,수확7일전,2회,액상수화제,한국마간(주)
47-살균-9,수입,고추(단고추류포함),탄저병,플루아지남 액상수화제,Fluazinam,41%,반조,Ⅳ급(저독성),Ⅰ급,살균,2015-03-05,다5,2000배,-,발병초 10일간격,경엽처리,수확7일전,2회,액상수화제,아다마코리아(주)
44-살균-13,제조,단고추류,탄저병,플루아지남 액상수화제,Fluazinam,41%,반조,Ⅳ급(저독성),Ⅰ급,살균,2023-06-13,다5,2000배,-,발생초기,경엽처리,수확7일전,2회,액상수화제,아다마코리아(주)
3-살균-417,제조,고추,탄저병,플로릴피콕사미드.플루아지남 액상수화제,Florylpicoxamid+Fluazinam,36(6+30)%,백신스타,Ⅳ급(저독성),Ⅰ급,살균,2024-02-19,다4+다5,2000배,-,발병 초부터,경엽처리,수확14일전,3회,액상수화제,(주)동방아그로
3-살균-417,제조,단고추류,탄저병,플로릴피콕사미드.플루아지남 액상수화제,Florylpicoxamid+Fluazinam,36(6+30)%,백신스타,Ⅳ급(저독성),Ⅰ급,살균,2024-02-19,다4+다5,2000배,-,발병 초부터,경엽처리,수확14일전,3회,액상수화제,(주)동방아그로
46-살균-433,제조,고추(단고추류포함),탄저병,아족시스트로빈.티오파네이트메틸 액상수화제,Azoxystrobin+Thiophanate-methyl,25(15+10)%,백작,Ⅳ급(저독성),Ⅲ급,살균,2016-11-01,다3+나1,2000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)팜한농
29-살균-44,제조,고추,탄저병,테부코나졸 입제,Tebuconazole,2%,백중탄,Ⅳ급(저독성),Ⅲ급,살균,2020-12-29,사1,-,3㎏/10a,정식전(두둑처리),토양처리,정식기,1회,입제,(주)유피엘리미티드코리아
29-살균-44,제조,고추(잎),탄저병,테부코나졸 입제,Tebuconazole,2%,백중탄,Ⅳ급(저독성),Ⅲ급,살균,2020-12-29,사1,-,3㎏/10a,정식(파종)전(두둑처리),토양처리,정식기,1회,입제,(주)유피엘리미티드코리아
29-살균-44,제조,단고추류,탄저병,테부코나졸 입제,Tebuconazole,2%,백중탄,Ⅳ급(저독성),Ⅲ급,살균,2020-12-29,사1,-,3㎏/10a,정식전(두둑처리),토양처리,정식기,1회,입제,(주)유피엘리미티드코리아
19-살균-71,제조,고추(단고추류포함),탄저병,테부코나졸 입상수화제,Tebuconazole,25%,버전업,Ⅳ급(저독성),Ⅲ급,살균,2005-09-30,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,입상수화제,인바이오(주)
3-살균-406,제조,고추,탄저병,플로릴피콕사미드 액상수화제,Florylpicoxamid,10%,버픽스,Ⅳ급(저독성),Ⅰ급,살균,2021-11-11,다4,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)동방아그로
3-살균-406,제조,단고추류,탄저병,플로릴피콕사미드 액상수화제,Florylpicoxamid,10%,버픽스,Ⅳ급(저독성),Ⅰ급,살균,2021-11-11,다4,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)동방아그로
26-살균-6,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,베노레이트,Ⅳ급(저독성),Ⅱ급,살균,1999-01-27,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)대유
52-살균-101,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,베노밀,Ⅳ급(저독성),Ⅱ급,살균,2014-03-07,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)한얼싸이언스
39-살균-52,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,베노밀,Ⅳ급(저독성),Ⅱ급,살균,2020-02-14,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)천지인바이오텍
174-살균-2,수입,고추,탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,베르나,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다2+다3,2000배,-,발생초기,경엽처리,수확5일전,2회,입상수화제,(주)성심바이오메딕
174-살균-2,수입,단고추류,탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,베르나,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다2+다3,2000배,-,발생초기,경엽처리,수확5일전,2회,입상수화제,(주)성심바이오메딕
3-살균-124,제조,고추(단고추류포함),탄저병,이미녹타딘트리아세테이트 액제,Iminoctadine triacetate,25%,베푸란,Ⅲ급(보통독성),Ⅲ급,살균,1995-03-24,카,1000배,-,발병초 10일간격,경엽처리,수확7일전,2회,액제,(주)동방아그로
2-살균-18,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,벤레이트,Ⅳ급(저독성),Ⅱ급,살균,1981-03-02,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,신젠타코리아(주)
60-살균-3,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,벤허,Ⅳ급(저독성),Ⅱ급,살균,2020-05-12,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)하나바이오
1-살균-431,제조,고추(단고추류포함),탄저병,보스칼리드.피라클로스트로빈 액상수화제,Boscalid+Pyraclostrobin,21.6(13.6+8)%,벨리스에스,Ⅳ급(저독성),Ⅰ급,살균,2013-11-05,다2+다3,2000배,-,발병초 10일간격,경엽처리,수확5일전,2회,액상수화제,(주)경농
37-살균-22,수입,고추(단고추류포함),탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,벨리스플러스,Ⅳ급(저독성),Ⅰ급,살균,2004-10-18,다2+다3,2000배,-,발병초 10일간격,경엽처리,수확5일전,2회,입상수화제,한국바스프(주)
1-살균-20,수입,고추(단고추류포함),탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,벨리스플러스,Ⅳ급(저독성),Ⅰ급,살균,2004-12-03,다2+다3,2000배,-,발병초 10일간격,경엽처리,수확5일전,2회,입상수화제,(주)경농
1-살균-380,제조,고추(단고추류포함),탄저병,이미녹타딘트리스알베실레이트 수화제,Iminoctadine tris(albesilate),40%,벨쿠트,Ⅳ급(저독성),Ⅲ급,살균,1997-02-03,카,1000배,-,발병초부터 10일간격,경엽처리,수확7일전,3회,수화제,(주)경농
69-살균-34,제조,고추,탄저병,디티아논 수화제,Dithianon,75%,보양진,Ⅳ급(저독성),Ⅰ급,살균,2020-01-23,카,1000배,-,발병초부터 10일간격,경엽처리,수확3일전,4회,수화제,㈜이엑스아이디
3-살균-189,제조,고추(단고추류포함),탄저병,클로로탈로닐.프로파모카브하이드로클로라이드 액상수화제,Chlorothalonil+Propamocarb hydrochloride,62(31+31)%,볼레로,Ⅳ급(저독성),Ⅰ급,살균,2000-03-13,카+바4,500배,-,발병초기 10일간격,경엽처리,수확5일전,2회,액상수화제,(주)동방아그로
46-살균-550,제조,고추(단고추류포함),탄저병,이미녹타딘트리스알베실레이트 액상수화제,Iminoctadine tris(albesilate),30%,부티나,Ⅳ급(저독성),Ⅲ급,살균,2009-01-01,카,1000배,-,발병초 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)팜한농
6-살균-275,제조,고추(단고추류포함),탄저병,프로피네브.피라클로스트로빈 입상수화제,Propineb+Pyraclostrobin,60.7(56+4.7)%,블랙박스,Ⅳ급(저독성),Ⅱ급,살균,2018-09-07,카+다3,1000배,-,발병초 10일간격 ,경엽처리,수확3일전,3회,입상수화제,에스비성보주식회사
94-살균-23,수입,고추,탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,블랙잭,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다2+다3,2000배,-,발생초기,경엽처리,수확5일전,2회,입상수화제,미래아그로
48-살균-43,제조,고추(단고추류포함),탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,블랙잭,Ⅳ급(저독성),Ⅰ급,살균,2019-04-10,다2+다3,2000배,-,발병초 10일간격,경엽처리,수확5일전,2회,입상수화제,(주)태준아그로텍
94-살균-23,수입,단고추류,탄저병,보스칼리드.피라클로스트로빈 입상수화제,Boscalid+Pyraclostrobin,20.4(13.6+6.8)%,블랙잭,Ⅳ급(저독성),Ⅰ급,살균,2023-03-16,다2+다3,2000배,-,발생초기,경엽처리,수확5일전,2회,입상수화제,미래아그로
76-살균-36,제조,고추(단고추류포함),탄저병,카벤다짐.디페노코나졸 입상수화제,Carbendazim+Difenoconazole,15(6+9)%,블루칸,Ⅳ급(저독성),Ⅲ급,살균,2020-09-17,나1+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,2회,입상수화제,(주)신농팜케미컬
85-살균-7,수입,고추(단고추류포함),탄저병,카벤다짐.디페노코나졸 입상수화제,Carbendazim+Difenoconazole,15(6+9)%,블루칸,Ⅳ급(저독성),Ⅲ급,살균,2012-10-31,나1+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,2회,입상수화제,(주)케이씨생명과학
74-살균-3,제조,고추(단고추류포함),탄저병,테부코나졸 유제,Tebuconazole,25%,비거,Ⅳ급(저독성),Ⅲ급,살균,2018-02-28,사1,2000배,-,발병초부터 10일간격,경엽처리,수확2일전,2회,유제,아진케미칼(주)
2-살균-263,제조,고추(단고추류포함),탄저병,아시벤졸라에스메틸.만코제브 수화제,Acibenzolar-S-methyl+Mancozeb,49(1+48)%,비온엠,Ⅳ급(저독성),Ⅱ급,살균,2000-12-29,차1+카,1000배,-,발병초 10일간격,경엽처리,수확7일전,3회,수화제,신젠타코리아(주)
3-살균-240,제조,고추(단고추류포함),탄저병,클로로탈로닐.가스가마이신 액상수화제,Chlorothalonil+Kasugamycin,35(30+5)%,빅맨,Ⅳ급(저독성),Ⅰ급,살균,2007-03-29,카+라3,1000배,-,발병초기 10일간격,경엽처리,수확2일전,3회,액상수화제,(주)동방아그로
143-살균-5,수입,고추(단고추류포함),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,빅쇼,Ⅳ급(저독성),Ⅰ급,살균,2019-02-12,다3,3000배,-,발병초 10일간격,경엽처리,수확5일전,3회,입상수화제,티아그로
143-살균-5,수입,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,빅쇼,Ⅳ급(저독성),Ⅰ급,살균,2019-02-12,다3,3000배,-,발병초기,경엽처리,수확7일전,1회,입상수화제,티아그로
163-살균-6,수입,고추(단고추류포함),탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,빅스톱,Ⅳ급(저독성),Ⅱ급,살균,2021-12-20,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,아그로스타(주)
143-살균-6,수입,고추,탄저병,아족시스트로빈 액상수화제,Azoxystrobin,21.7%,빅펀치,Ⅳ급(저독성),Ⅱ급,살균,2019-02-12,다3,2000배,-,발병초 10일간격,경엽처리,수확3일전,5회,액상수화제,티아그로
21-살균-7,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,사일런트,Ⅳ급(저독성),Ⅱ급,살균,1998-08-17,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,(주)유일
14-살균-273,제조,고추(단고추류포함),탄저병,프로클로라즈망가니즈.테부코나졸 수화제,Prochloraz-manganese+Tebuconazole,40(25+15)%,사천왕,Ⅳ급(저독성),Ⅱ급,살균,2007-03-29,사1+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,수화제,한국삼공(주)
44-살균-11,제조,고추,탄저병,플루아지남.테부코나졸 액상수화제,Fluazinam+Tebuconazole,41.6(29.1+12.5)%,살루스,Ⅳ급(저독성),Ⅰ급,살균,2022-11-02,다5+사1,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,아다마코리아(주)
47-살균-10,수입,고추(단고추류포함),탄저병,플루아지남.테부코나졸 액상수화제,Fluazinam+Tebuconazole,41.6(29.1+12.5)%,살루스,Ⅳ급(저독성),Ⅰ급,살균,2015-05-27,다5+사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,아다마코리아(주)
44-살균-11,제조,단고추류,탄저병,플루아지남.테부코나졸 액상수화제,Fluazinam+Tebuconazole,41.6(29.1+12.5)%,살루스,Ⅳ급(저독성),Ⅰ급,살균,2022-11-02,다5+사1,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,아다마코리아(주)
14-살균-77,제조,고추(단고추류포함),탄저병,티오파네이트메틸 수화제,Thiophanate-methyl,70%,삼공지오판,Ⅳ급(저독성),Ⅱ급,살균,1987-01-09,나1,1500배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,수화제,한국삼공(주)
14-살균-15,제조,고추,탄저병,폴펫 수화제,Folpet,50%,삼공홀펫,Ⅳ급(저독성),Ⅱ급,살균,1981-10-10,카,500배,-,발병초부터 10일간격,경엽처리,수확2일전,3회,수화제,한국삼공(주)
1-살균-261,제조,고추(단고추류포함),탄저병,디페노코나졸.이미녹타딘트리아세테이트 미탁제,Difenoconazole+Iminoctadine triacetate,18(3+15)%,삼진왕,Ⅲ급(보통독성),Ⅲ급,살균,2009-01-01,사1+카,1000배,-,발병초 10일간격,경엽처리,수확3일전,4회,미탁제,(주)경농
19-살균-11,수입,고추,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,새도우,Ⅳ급(저독성),Ⅰ급,살균,2023-10-30,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,인바이오(주)
19-살균-196,제조,고추(단고추류포함),탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,새도우,Ⅳ급(저독성),Ⅰ급,살균,2019-07-18,다3,2000배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,액상수화제,인바이오(주)
19-살균-11,수입,단고추류,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,새도우,Ⅳ급(저독성),Ⅰ급,살균,2023-10-30,다3,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,인바이오(주)
8-살균-1,제조,고추,탄저병,프로피네브 수화제,Propineb,70%,새론,Ⅳ급(저독성),Ⅱ급,살균,1981-05-01,카,500배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,수화제,(주)농협케미컬
2-살균-151,제조,고추(단고추류포함),탄저병,트리베이식코퍼설페이트 액상수화제,Tribasic copper sulfate,15%,새빈나,Ⅳ급(저독성),Ⅲ급,살균,1992-04-23,카,500배,-,발병초부터 10일간격,경엽처리,발생초기,-,액상수화제,신젠타코리아(주)
19-살균-7,제조,고추(단고추류포함),탄저병,티오파네이트메틸 수화제,Thiophanate-methyl,70%,샹그리라,Ⅳ급(저독성),Ⅱ급,살균,1995-07-27,나1,1500배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,수화제,인바이오(주)
8-살균-318,제조,고추(단고추류포함),탄저병,테부코나졸 유탁제,Tebuconazole,25%,선가드,Ⅳ급(저독성),Ⅲ급,살균,2004-01-30,사1,2000배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,유탁제,(주)농협케미컬
45-살균-66,제조,고추,탄저병,베노밀 수화제,Benomyl,50%,선문베노밀,Ⅳ급(저독성),Ⅱ급,살균,1981-10-27,나1,1500배,-,발병초부터 10일간격,경엽처리,수확2일전,4회,수화제,선문그린사이언스(주)
95-살균-3,수입,고추,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,선문타로닐,Ⅳ급(저독성),Ⅰ급,살균,2024-04-01,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,선문그린사이언스(주)
45-살균-83,제조,고추(단고추류포함),탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,선문타로닐,Ⅳ급(저독성),Ⅰ급,살균,2018-05-08,카,700배,-,발병초부터 10일간격,경엽처리,수확7일전,4회,수화제,선문그린사이언스(주)
95-살균-3,수입,단고추류,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,선문타로닐,Ⅳ급(저독성),Ⅰ급,살균,2024-04-01,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,선문그린사이언스(주)
174-살균-4,수입,고추,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,선빌,Ⅳ급(저독성),Ⅰ급,살균,2023-06-13,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,(주)성심바이오메딕
174-살균-4,수입,단고추류,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,선빌,Ⅳ급(저독성),Ⅰ급,살균,2023-06-13,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,(주)성심바이오메딕
19-살균-190,제조,고추(단고추류포함),탄저병,에타복삼.피라클로스트로빈 액상수화제,Ethaboxam+Pyraclostrobin,25(15+10)%,선승,Ⅳ급(저독성),Ⅰ급,살균,2019-04-23,나3+다3,2000배,-,발병초기 10일간격,경엽처리,수확3일전,2회,액상수화제,인바이오(주)
6-살균-170,제조,고추(단고추류포함),탄저병,플루퀸코나졸.프로클로라즈망가니즈 수화제,Fluquinconazole+Prochloraz-manganese,30(5+25)%,성보탄저박사,Ⅳ급(저독성),Ⅱ급,살균,2005-03-29,사1+사1,1000배,-,발생초 10일간격,경엽처리,수확3일전,3회,수화제,에스비성보주식회사
1-살균-314,제조,고추(단고추류포함),탄저병,클로로탈로닐.메탈락실엠 액상수화제,Chlorothalonil+Metalaxyl-M,34.5(31.5+3)%,세이브,Ⅳ급(저독성),Ⅰ급,살균,2005-05-30,카+가1,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)경농
1-살균-447,제조,고추(단고추류포함),탄저병,아미설브롬.클로로탈로닐 액상수화제,Amisulbrom+Chlorothalonil,41(6+35)%,셀빙,Ⅳ급(저독성),Ⅰ급,살균,2014-07-21,다4+카,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)경농
14-살균-296,제조,고추(단고추류포함),탄저병,디티아논.크레속심메틸 액상수화제,Dithianon+Kresoxim-methyl,25(15+10)%,수고탄,Ⅳ급(저독성),Ⅰ급,살균,2009-03-30,카+다3,1000배,-,발병초 10일간격 ,경엽처리,수확2일전,3회,액상수화제,한국삼공(주)
52-살균-21,제조,고추(단고추류포함),탄저병,디티아논 액상수화제,Dithianon,43%,수리탄,Ⅲ급(보통독성),Ⅰ급,살균,2012-07-23,카,1000배,-,발병초부터 10일간격,경엽처리,수확7일전,5회,액상수화제,(주)한얼싸이언스
52-살균-207,제조,고추,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,수비탄,Ⅳ급(저독성),Ⅰ급,살균,2025-02-11,다3,2000배,-,발병 초부터,경엽처리,수확3일전,3회,액상수화제,(주)한얼싸이언스
52-살균-207,제조,단고추류,탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,수비탄,Ⅳ급(저독성),Ⅰ급,살균,2025-02-11,다3,2000배,-,발병 초부터,경엽처리,수확3일전,3회,액상수화제,(주)한얼싸이언스
46-살균-456,제조,고추(단고추류포함),탄저병,피콕시스트로빈 입상수화제,Picoxystrobin,25%,수퍼킥,Ⅳ급(저독성),Ⅰ급,살균,2012-02-02,다3,2000배,-,발병직전 10일간격,경엽처리,수확3일전,3회,입상수화제,(주)팜한농
1-살균-496,제조,고추,탄저병,플루디옥소닐 분산성액제,Fludioxonil,20%,슈퍼사이드,Ⅳ급(저독성),Ⅱ급,살균,2016-08-02,마2,2000배,-,발생초기,경엽처리,수확3일전,3회,분산성액제,(주)경농
1-살균-496,제조,단고추류,탄저병,플루디옥소닐 분산성액제,Fludioxonil,20%,슈퍼사이드,Ⅳ급(저독성),Ⅱ급,살균,2016-08-02,마2,2000배,-,발생초기,경엽처리,수확3일전,3회,분산성액제,(주)경농
48-살균-39,제조,고추(단고추류포함),탄저병,디메토모르프.피라클로스트로빈 입상수화제,Dimethomorph+Pyraclostrobin,18.7(12+6.7)%,스카웃,Ⅳ급(저독성),Ⅰ급,살균,2018-11-20,아5+다3,1500배,-,발생초 10일간격,경엽처리,수확7일전,3회,입상수화제,(주)태준아그로텍
163-살균-1,수입,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,스타게이트,Ⅳ급(저독성),Ⅱ급,살균,2010-11-25,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,아그로스타(주)
153-살균-15,수입,고추,탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,스타폴,Ⅳ급(저독성),Ⅰ급,살균,2023-10-11,다3,3000배,-,발생초기,경엽처리,수확5일전,3회,입상수화제,레인보우애그로사이언스(주)
153-살균-15,수입,고추(잎),탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,스타폴,Ⅳ급(저독성),Ⅰ급,살균,2023-10-11,다3,3000배,-,발생초기,경엽처리,수확7일전,1회,입상수화제,레인보우애그로사이언스(주)
153-살균-15,수입,단고추류,탄저병,피라클로스트로빈 입상수화제,Pyraclostrobin,20%,스타폴,Ⅳ급(저독성),Ⅰ급,살균,2023-10-11,다3,3000배,-,발생초기,경엽처리,수확5일전,3회,입상수화제,레인보우애그로사이언스(주)
19-살균-191,제조,고추(단고추류포함),탄저병,피라클로스트로빈 유제,Pyraclostrobin,22.9%,스탠바이,Ⅳ급(저독성),Ⅰ급,살균,2019-04-23,다3,4000배,-,발병초 10일간격,경엽처리,수확2일전,3회,유제,인바이오(주)
19-살균-191,제조,고추(잎),탄저병,피라클로스트로빈 유제,Pyraclostrobin,22.9%,스탠바이,Ⅳ급(저독성),Ⅰ급,살균,2019-04-23,다3,4000배,-,발병초기,경엽처리,수확7일전,1회,유제,인바이오(주)
94-살균-17,수입,고추(단고추류포함),탄저병,아족시스트로빈.디메토모르프 입상수화제,Azoxystrobin+Dimethomorph,23(8+15)%,스텔라,Ⅳ급(저독성),Ⅱ급,살균,2019-04-08,다3+아5,1000배,-,발병초 10일간격,경엽처리,수확7일전,2회,입상수화제,미래아그로
51-살균-97,제조,고추(단고추류포함),탄저병,트리플록시스트로빈 액상수화제,Trifloxystrobin,22%,스팅,Ⅳ급(저독성),Ⅰ급,살균,2019-07-18,다3,2000배,-,발병초부터 10일간격 ,경엽처리,수확3일전,3회,액상수화제,아그리젠토(주)
39-살균-85,제조,고추,탄저병,디페노코나졸 액상수화제,Difenoconazole,10%,스페이드,Ⅳ급(저독성),Ⅲ급,살균,2024-04-01,사1,2000배,-,발생초기,경엽처리,수확7일전,2회,액상수화제,(주)천지인바이오텍
39-살균-85,제조,단고추류,탄저병,디페노코나졸 액상수화제,Difenoconazole,10%,스페이드,Ⅳ급(저독성),Ⅲ급,살균,2024-04-01,사1,2000배,-,발생초기,경엽처리,수확7일전,2회,액상수화제,(주)천지인바이오텍
14-살균-113,제조,고추(단고추류포함),탄저병,프로클로라즈망가니즈 수화제,Prochloraz-manganese,50%,스포르곤,Ⅳ급(저독성),Ⅱ급,살균,1992-07-08,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,수화제,한국삼공(주)
76-살균-16,제조,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,신농팜균박사,Ⅳ급(저독성),Ⅱ급,살균,2016-11-16,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,미탁제,(주)신농팜케미컬
63-살균-72,제조,고추,탄저병,카벤다짐.디페노코나졸 입상수화제,Carbendazim+Difenoconazole,15(6+9)%,신농팜블루칸,Ⅳ급(저독성),Ⅲ급,살균,2022-12-23,나1+사1,2000배,-,발병 초부터,경엽처리,수확3일전,2회,입상수화제,(주)케이씨생명과학
63-살균-72,제조,단고추류,탄저병,카벤다짐.디페노코나졸 입상수화제,Carbendazim+Difenoconazole,15(6+9)%,신농팜블루칸,Ⅳ급(저독성),Ⅲ급,살균,2022-12-23,나1+사1,2000배,-,발병 초부터,경엽처리,수확3일전,2회,입상수화제,(주)케이씨생명과학
29-살균-45,제조,고추,탄저병,테부코나졸 분산성액제,Tebuconazole,12%,신비탄,Ⅳ급(저독성),Ⅱ급,살균,2021-01-11,사1,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,분산성액제,(주)유피엘리미티드코리아
29-살균-45,제조,단고추류,탄저병,테부코나졸 분산성액제,Tebuconazole,12%,신비탄,Ⅳ급(저독성),Ⅱ급,살균,2021-01-11,사1,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,분산성액제,(주)유피엘리미티드코리아
4-살균-132,제조,고추(단고추류포함),탄저병,테부코나졸 수화제,Tebuconazole,25%,실바코,Ⅳ급(저독성),Ⅲ급,살균,1995-08-30,사1,2000배,-,발병초 10일간격,경엽처리,수확3일전,3회,수화제,바이엘크롭사이언스(주)
4-살균-31,수입,고추(단고추류포함),탄저병,테부코나졸 입상수화제,Tebuconazole,25%,실바코,Ⅳ급(저독성),Ⅲ급,살균,2006-05-10,사1,2000배,-,발병초부터 10일간격,경엽처리,수확3일전,3회,입상수화제,바이엘크롭사이언스(주)
4-살균-368,제조,고추(잎),탄저병,테부코나졸 입제,Tebuconazole,2%,실바코,Ⅳ급(저독성),Ⅲ급,살균,2012-07-23,사1,-,3㎏/10a,정식전,두둑처리,정식기,1회,입제,바이엘크롭사이언스(주)
